지도,어디,위치,,,,,,,,,,,,,,,,,,,,,
a동,b동,c동,d동,인문사회관,인문관,사회관,인문사회,a,b,c,d,에이동,비동,씨동,디동,A,B,C,D,A동,B동,C동,D동
e동,조형관,조형,e,이동,E,E동,,,,,,,,,,,,,,,,,
f동,f,미술학관,에프동,F,F동,,,,,,,,,,,,,,,,,,
g동,g,학생회관,학생회,지동,쥐동,G,G동,,,,,,,,,,,,,,,,
h동,h,중앙도서관,도서관,중도,에이치동,H,H동,,,,,,,,,,,,,,,,
i동,i,과학관,과학,아이동,I,I동,,,,,,,,,,,,,,,,,
j동,j,제3공학관,3공학관,3공학,제이동,J동,J,,,,,,,,,,,,,,,,
k동,k,제1공학관,1공학관,1공학,케이동,K동,K,,,,,,,,,,,,,,,,
l동,l,와우관,와우,엘동,L동,L,,,,,,,,,,,,,,,,,
m동,m,체육관,강당,엠동,M,M동,,,,,,,,,,,,,,,,,
p동,p,P,P동,피동,제2공학관,2공학관,2공학,,,,,,,,,,,,,,,,
q동,q,Q,Q동,큐동,정보통신관,정보통신센터,정보관,,,,,,,,,,,,,,,,
r동,r,R,R동,알동,홍문관,정문,,,,,,,,,,,,,,,,,
s동,s,S,S동,에스동,신축강당,,,,,,,,,,,,,,,,,,
t동,t,T,T동,티동,제4공학관,4공학관,4공학,,,,,,,,,,,,,,,,
u동,u,U,U동,유동,미술종합강의관,미술종합강의동,,,,,,,,,,,,,,,,,
x동,x,X,X동,엑스동,,,,,,,,,,,,,,,,,,,
z동,z,Z,Z동,z1,z2,z3,z4,Z1,Z2,Z3,Z4,제1강의동,제2강의동,제3강의동,제4강의동,이천득관,이득천관,,,,,,
